GERMY,2,0,50,0,48
P00,2,0,48,0,46
P01,2,0,46,0,44
P02,1,0,18,0,17
RICHI,2,0,43,0,41
P03,1,0,17,0,16
P04,2,0,40,0,38
P05,1,0,17,0,16
KEVIN,2,0,37,0,35
P06,1,0,17,0,16
P07,2,0,34,0,32
P08,1,0,17,0,16
LUKAS,2,0,31,0,29
P09,1,0,17,0,16
P10,2,0,28,0,26
P11,1,0,17,0,16
CRUZ,2,0,25,0,23
P12,1,0,17,0,16
P13,2,0,22,0,20
P14,2,2,20,0,0
